"2020-2021 UC San Diego Men's Basketball
Overall Statistics (as of Mar 11, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Record: 7-10   Conf: 0-0   Home: 7-3   Away: 0-7   Neutral: 0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,GP-GS,,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
13,"Kosakowski, Jake",8-0,,67,,8.4,,7-21,,,0.333,5-17,0.294,,2-2,1.000,2,10,12,1.5,5,0,2,3,0,0,21,2.6,,
12,"Pratt, Justin",6-0,,34,,5.7,,4-10,,,0.400,2-5,0.400,,0-0,0.000,1,6,7,1.2,1,0,2,1,0,1,10,1.7,,
33,"Ramsey, Trace",6-0,,41,,6.8,,5-10,,,0.500,0-3,0.000,,0-0,0.000,0,3,3,0.5,12,0,1,3,1,2,10,1.7,,
00,"Taylor, Lunden",7-0,,40,,5.7,,2-5,,,0.400,0-1,0.000,,2-5,0.400,1,3,4,0.6,2,0,7,4,1,3,6,0.9,,
Total,,17,,3425,,201.5,,447-973,,,0.459,188-500,0.376,,132-207,0.638,101,400,501,29.5,232,3,294,225,37,116,1214,71.41,,
Opponents,,,,3425,,201.5,,473-1033,,,0.458,123-346,0.355,,157-220,0.714,174,468,642,37.8,240,2,263,239,43,117,1226,72.12,,
 Team Statistics                        UCSD             OPP          Conf           Date               Opponent                                             W/L               Score                      Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,1214,,,1226,,,,,12/22/20,,,,ST. KATHERINE,,,,,W,,,,77-51,,,,0,,,
Points Per Game,,71.4,,,72.1,,,,,12/23/20,,,,ST. KATHERINE,,,,,W,,,,75-39,,,,0,,,
Scoring Margin,,-0.7,,,–,,,,,01/09/21,,,,UC IRVINE,,,,,L,,,,65-79,,,,0,,,
FIELD GOALS-ATT,,447-973,,,473-1033,,,,,01/15/21,,,,at UC Santa Barbara,,,,,L,,,,52-69,,,,0,,,
Field Goal Pct,,0.459,,,0.458,,,,,01/16/21,,,,at UC Santa Barbara,,,,,L,,,,53-84,,,,0,,,
3 POINT FG-ATT,,188-500,,,123-346,,,,,01/22/21,,,,UC DAVIS,,,,,W,,,,89-69,,,,0,,,
3PT FG Pct,,0.376,,,0.355,,,,,01/23/21,,,,UC DAVIS,,,,,L,,,,71-78,,,,0,,,
3PT Made Per Game,,11.1,,,7.2,,,,,01/31/21,,,,at UC Riverside,,,,,L,,,,59-71,,,,0,,,
FREE THROWS-ATT,,132-207,,,157-220,,,,,02/07/21,,,,BETHESDA (CA),,,,,W,,,,101-64,,,,0,,,
FT Pct,,0.638,,,0.714,,,,,02/12/21,,,,at CSU Bakersfield,,,,,L,,,,71-76,,,,0,,,
FT Made Per Game,,7.8,,,9.2,,,,,02/13/21,,,,at CSU Bakersfield,,,,,L,,,,50-65,,,,0,,,
REBOUNDS,,501,,,642,,,,,02/19/21,,,,UC RIVERSIDE,,,,,L,,,,75-81,,,,0,,,
Rebounds Per Game,,29.5,,,37.8,,,,,02/20/21,,,,UC RIVERSIDE,,,,,W (OT),,,,83-82,,,,0,,,
