Overall Record: 19-9   Conf: 13-3   Home: 13-1   Away: 6-7   Neutral: 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
04,"Pope, Bryce",,28-28,991,,35.4,,181-431,,,0.420,61-189,0.323,,85-101,0.842,21,90,111,4.0,29,0,48,34,4,27,508,18.1,,
13,"McGhie, Tyler",,18-0,507,,28.2,,92-206,,,0.447,54-132,0.409,,13-23,0.565,8,40,48,2.7,21,1,23,6,2,10,251,13.9,,
12,"Tait-Jones, Aniwaniwa",,28-28,825,,29.5,,129-229,,,0.563,8-24,0.333,,108-145,0.745,38,125,163,5.8,60,1,91,54,10,30,374,13.4,,
35,"Nwaokorie, Francis",,28-28,878,,31.4,,106-234,,,0.453,43-131,0.328,,68-82,0.829,43,100,143,5.1,77,3,23,39,21,19,323,11.5,,
10,"Gray, Hayden",,28-28,909,,32.5,,101-207,,,0.488,22-62,0.355,,50-61,0.820,27,92,119,4.3,54,1,107,45,13,49,274,9.8,,
33,"Brooks, J'Raan",,28-28,559,,20.0,,56-122,,,0.459,25-64,0.391,,16-27,0.593,26,72,98,3.5,91,6,27,34,8,13,153,5.5,,
25,"Tshimanga, Emmanuel",,17-0,259,,15.2,,28-50,,,0.560,0-0,0.000,,24-40,0.600,28,68,96,5.6,46,2,6,15,13,11,80,4.7,,
03,"DeGraaf, Justin",,21-0,203,,9.7,,20-50,,,0.400,12-31,0.387,,10-12,0.833,7,11,18,0.9,21,0,4,6,1,4,62,3.0,,
02,"Pearson Jr., Michael",,13-0,96,,7.4,,10-33,,,0.303,8-25,0.320,,4-5,0.800,2,8,10,0.8,5,0,2,4,0,2,32,2.5,,
20,"Burke, Aidan",,14-0,86,,6.1,,11-22,,,0.500,5-13,0.385,,0-1,0.000,5,8,13,0.9,8,0,1,3,0,3,27,1.9,,
00,"McCormick, Camden",,26-0,250,,9.6,,15-37,,,0.405,4-12,0.333,,13-17,0.765,10,32,42,1.6,29,0,32,4,2,6,47,1.8,,
15,"Patterson, Quin",,14-0,68,,4.9,,8-18,,,0.444,6-14,0.429,,0-0,0.000,2,8,10,0.7,6,0,5,0,0,3,22,1.6,,
05,"Pendleton, Cade",,11-0,44,,4.0,,4-17,,,0.235,2-13,0.154,,1-2,0.500,2,8,10,0.9,3,0,2,3,4,2,11,1.0,,
Total,,,28,5675,,202.7,,761-1656,,,0.460,250-710,0.352,,392-516,0.760,264,711,975,34.8,450,14,371,264,78,179,2164,77.29,,
Opponents,,,28,5675,,202.7,,704-1629,,,0.432,192-585,0.328,,317-453,0.700,278,693,971,34.7,478,5,345,335,98,119,1917,68.46,,
Team Statistics                        UCSD             OPP          Conf           Date               Opponent                                             W/L               Score                      Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,,2164,,1917,,,,,,,11/06/23,,DENVER,,,,,W,,,,95-87,,,,"1,437",,,
Points Per Game,,,77.3,,68.5,,,,,,,11/11/23,,SAN DIEGO,,,,,W,,,,69-63,,,,"2,038",,,
Scoring Margin,,,8.8,,–,,,,,,,11/13/23,,LA VERNE,,,,,W,,,,116-57,,,,871,,,
FIELD GOALS-ATT,,,761-1656,,704-1629,,,,,,,11/18/23,,NAVY,,,,,W,,,,73-55,,,,"1,366",,,
Field Goal Pct,,,0.460,,0.432,,,,,,,11/24/23,,vs Idaho,,,,,L (OT),,,,70-73,,,,592,,,
3 POINT FG-ATT,,,250-710,,192-585,,,,,,,11/26/23,,at Seattle U,,,,,L,,,,67-79,,,,836,,,
3PT FG Pct,,,0.352,,0.328,,,,,,,11/28/23,,at Washington,,,,,L,,,,56-83,,,,"5,726",,,
3PT Made Per Game,,,8.9,,6.9,,,,,,,12/01/23,,SAN DIEGO ST.,,,,,L,,,,62-63,,,,"4,000",,,
FREE THROWS-ATT,,,392-516,,317-453,,,,,,,12/05/23,,OCCIDENTAL,,,,,W,,,,98-67,,,,716,,,
FT Pct,,,0.760,,0.700,,,,,,,12/09/23,,at Pepperdine,,,,,L,,,,62-68,,,,407,,,
FT Made Per Game,,,14.0,,11.3,,,,,,,12/18/23,,at Sacramento St.,,,,,W,,,,83-52,,,,574,,,
REBOUNDS,,,975,,971,,,,,,,12/20/23,,at California,,,,,L,,,,67-71,,,,"2,516",,,
Rebounds Per Game,,,34.8,,34.7,,,,,*,,12/28/23,,CSU BAKERSFIELD,,,,,W,,,,76-64,,,,"1,019",,,
Rebounds Margin,,,0.1,,–,,,,,*,,01/04/24,,at UC Santa Barbara,,,,,W,,,,79-72,,,,"1,914",,,
ASSISTS,,,371,,345,,,,,*,,01/06/24,,at Cal St. Fullerton,,,,,W,,,,76-58,,,,642,,,
Assists Per Game,,,13.3,,12.3,,,,,*,,01/11/24,,LONG BEACH ST.,,,,,W,,,,88-74,,,,"2,083",,,
TURNOVERS,,,264,,335,,,,,*,,01/13/24,,at Cal Poly,,,,,W,,,,86-61,,,,"2,757",,,
Turnovers Per Game,,,9.4,,12.0,,,,,*,,01/18/24,,at UC Irvine,,,,,L,,,,65-76,,,,"3,108",,,
Turnovers Margin,,,2.6,,–,,,,,*,,01/20/24,,HAWAII,,,,,W,,,,67-61,,,,"1,558",,,
Assist/Turnover Ratio,,,1.4,,1.0,,,,,*,,01/25/24,,UC RIVERSIDE,,,,,W,,,,66-65,,,,"3,083",,,
STEALS,,,179,,119,,,,,*,,01/27/24,,at UC Davis,,,,,W,,,,92-59,,,,"2,537",,,
Steals Per Game,,,6.4,,4.3,,,,,*,,02/01/24,,CSUN,,,,,W,,,,83-62,,,,"1,277",,,
BLOCKS,,,78,,98,,,,,*,,02/03/24,,at Long Beach St.,,,,,L,,,,76-85,,,,"2,308",,,
Blocks Per Game,,,2.8,,3.5,,,,,*,,02/08/24,,at Hawaii,,,,,L (OT),,,,86-94,,,,"4,249",,,
ATTENDANCE,,,"24,338",,"28,277",,,,,*,,02/15/24,,UC SANTA BARBARA,,,,,W,,,,61-46,,,,"1,892",,,
Dates/Avg Per Date,,,"14-1,738",,"13-2,175",,,,,*,,02/17/24,,CAL ST. FULLERTON,,,,,W,,,,76-69,,,,"1,134",,,
Neutral Site #/Avg,,,–,,1-592,,,,,*,,02/22/24,,at UC Riverside,,,,,W,,,,77-65,,,,703,,,
,,,,,,,,,,*,,02/24/24,,UC IRVINE,,,,,W (OT),,,,92-88,,,,"1,864",,,
Score by Periods                1st       2nd        OT        Total           * = Conference game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,1018     1121,,,25,,2164,,,,,,,,,,,,,,,,,,,,,,,
Opponents,,830     1055,,,32,,1917,,,,,,,,,,,,,,,,,,,,,,,
Conference Games Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
