Overall Record: 19-9   Conf: 13-3   Home: 13-1   Away: 6-7   Neutral: 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
Conf: 13-3   Home: 8-0   Away: 5-3   Neutral: 0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
04,"Pope, Bryce",,16-16,583,,36.4,,108-244,,,0.443,33-101,0.327,,56-67,0.836,14,47,61,3.8,19,0,27,17,0,18,305,19.1,,
12,"Tait-Jones, Aniwaniwa",,16-16,503,,31.4,,84-141,,,0.596,5-13,0.385,,66-88,0.750,21,73,94,5.9,36,0,49,31,8,19,239,14.9,,
13,"McGhie, Tyler",,16-0,447,,27.9,,78-178,,,0.438,43-110,0.391,,10-19,0.526,6,38,44,2.8,20,1,21,6,2,7,209,13.1,,
35,"Nwaokorie, Francis",,16-16,504,,31.5,,54-117,,,0.462,20-64,0.313,,33-39,0.846,26,64,90,5.6,47,2,10,24,9,12,161,10.1,,
10,"Gray, Hayden",,16-16,530,,33.1,,55-115,,,0.478,14-33,0.424,,27-30,0.900,15,58,73,4.6,31,1,68,24,5,30,151,9.4,,
33,"Brooks, J'Raan",,16-16,316,,19.8,,33-73,,,0.452,18-47,0.383,,9-15,0.600,11,37,48,3.0,53,4,19,15,3,8,93,5.8,,
25,"Tshimanga, Emmanuel",,12-0,184,,15.3,,17-30,,,0.567,0-0,0.000,,15-26,0.577,20,44,64,5.3,37,2,4,11,9,6,49,4.1,,
02,"Pearson Jr., Michael",,6-0,18,,3.0,,3-9,,,0.333,3-6,0.500,,2-3,0.667,0,0,0,0.0,0,0,0,0,0,0,11,1.8,,
03,"DeGraaf, Justin",,9-0,34,,3.8,,5-11,,,0.455,3-7,0.429,,2-3,0.667,1,2,3,0.3,5,0,0,0,0,0,15,1.7,,
15,"Patterson, Quin",,7-0,18,,2.6,,2-3,,,0.667,1-2,0.500,,0-0,0.000,1,2,3,0.4,1,0,0,0,0,1,5,0.7,,
00,"McCormick, Camden",,14-0,95,,6.8,,2-10,,,0.200,0-2,0.000,,4-6,0.667,4,12,16,1.1,14,0,10,0,1,1,8,0.6,,
20,"Burke, Aidan",,4-0,9,,2.3,,0-1,,,0.000,0-1,0.000,,0-1,0.000,0,1,1,0.3,2,0,0,0,0,1,0,0.0,,
05,"Pendleton, Cade",,5-0,9,,1.8,,0-5,,,0.000,0-5,0.000,,0-0,0.000,0,2,2,0.4,0,0,0,1,1,1,0,0.0,,
Total,,,16,3250,,203.1,,441-937,,,0.471,140-391,0.358,,224-297,0.754,144,400,544,34.0,265,10,208,140,38,104,1246,77.88,,
Opponents,,,16,3250,,203.1,,402-895,,,0.449,104-304,0.342,,191-273,0.700,138,399,537,33.6,272,3,189,188,51,63,1099,68.69,,
Team Statistics                        UCSD             OPP          Date               Opponent                                                    W/L                      Score                       Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,,1246,,1099,,,,,12/28/23,,CSU BAKERSFIELD,,,,,,,W,,,,76-64,,,,1019,,,
Points Per Game,,,77.9,,68.7,,,,,01/04/24,,at  UC Santa Barbara,,,,,,,W,,,,79-72,,,,1914,,,
Scoring Margin,,,9.2,,–,,,,,01/06/24,,at  Cal St. Fullerton,,,,,,,W,,,,76-58,,,,642,,,
FIELD GOALS-ATT,,,441-937,,402-895,,,,,01/11/24,,LONG BEACH ST.,,,,,,,W,,,,88-74,,,,2083,,,
Field Goal Pct,,,0.471,,0.449,,,,,01/13/24,,at  Cal Poly,,,,,,,W,,,,86-61,,,,2757,,,
3 POINT FG-ATT,,,140-391,,104-304,,,,,01/18/24,,at  UC Irvine,,,,,,,L,,,,65-76,,,,3108,,,
3PT FG Pct,,,0.358,,0.342,,,,,01/20/24,,HAWAII,,,,,,,W,,,,67-61,,,,1558,,,
3PT Made Per Game,,,8.8,,6.5,,,,,01/25/24,,UC RIVERSIDE,,,,,,,W,,,,66-65,,,,3083,,,
FREE THROWS-ATT,,,224-297,,191-273,,,,,01/27/24,,at  UC Davis,,,,,,,W,,,,92-59,,,,2537,,,
FT Pct,,,0.754,,0.700,,,,,02/01/24,,CSUN,,,,,,,W,,,,83-62,,,,1277,,,
FT Made Per Game,,,14.0,,11.9,,,,,02/03/24,,at  Long Beach St.,,,,,,,L,,,,76-85,,,,2308,,,
REBOUNDS,,,544,,537,,,,,02/08/24,,at  Hawaii,,,,,,,L (OT),,,,86-94,,,,4249,,,
Rebounds Per Game,,,34.0,,33.6,,,,,02/15/24,,UC SANTA BARBARA,,,,,,,W,,,,61-46,,,,1892,,,
Rebounds Margin,,,0.4,,–,,,,,02/17/24,,CAL ST. FULLERTON,,,,,,,W,,,,76-69,,,,1134,,,
ASSISTS,,,208,,189,,,,,02/22/24,,at  UC Riverside,,,,,,,W,,,,77-65,,,,703,,,
Assists Per Game,,,13.0,,11.8,,,,,02/24/24,,UC IRVINE,,,,,,,W (OT),,,,92-88,,,,1864,,,
TURNOVERS,,,140,,188,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers Per Game,,,8.8,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers Margin,,,3.0,,–,,,,,,,,,,,,,,,,,,,,,,,,,
Assist/Turnover Ratio,,,1.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
STEALS,,,104,,63,,,,,,,,,,,,,,,,,,,,,,,,,
Steals Per Game,,,6.5,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCKS,,,38,,51,,,,,,,,,,,,,,,,,,,,,,,,,
Blocks Per Game,,,2.4,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
ATTENDANCE,,,"13,910",,"18,218",,,,,,,,,,,,,,,,,,,,,,,,,
Dates-Avg Per Date,,,"8-1,739",,"8-2,277",,,,,,,,,,,,,,,,,,,,,,,,,
Neutral Site #-Avg,,,–,,0-0,,,,,,,,,,,,,,,,,,,,,,,,,
Score by Periods,,1st,2nd,,OT,,Total,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,601,626,,19,,1246,,,,,,,,,,,,,,,,,,,,,,,
Opponents,,467,609,,23,,1099,,,,,,,,,,,,,,,,,,,,,,,
