"2023 UC San Diego Men's Soccer
Overall Statistics (as of Oct 28, 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record:                                  Overall          Home           Away          Neutral    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Games,,,,,,,,,,,,4-11-2003,,,2-6-2001,,,2-5-2002,,,,,0-0,,,,,,,
Conference,,,,,,,,,,,,3-5-2001,,,2-2,,,1-3-2001,,,,,0-0,,,,,,,
Non-Conference,,,,,,,,,,,,1-6-2002,,,0-4-1,,,1-2-2001,,,,,0-0,,,,,,,
Date,,Opponent,,W/L,,Score,,Att.,,#       Player,,,,,,GP,,G,,A,PTS,,SH,SH%,SOG,SOG%,YC-RC,GW,PK-ATT,
,Total,,18,,1620:00,,,,33,,1.83,,59,0.641,,4-11-2003,,,4,,,,,,,,,,,
,Opponents,,18,,1620:00,,,,24,,1.33,,57,0.704,,--,,,2,,,,,,,,,,,
CORNER KICKS,,,,83,,,80,,,,,,,,,,,,,,,,,,,,,,,
PENALTY KICKS,,,,3-4,,,1-2,,,,,,,,,,,,,,,,,,,,,,,
PENALTIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Cards,,,,28,,,35,,,,,,,,,,,,,,,,,,,,,,,
"Goals by Period                                                   1st                  2nd                Total UC San Diego                                                       8                   16                   24
Opponents                                                          11                   22                   33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Cards,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
ATTENDANCE,,,,,,,,,Shots by Period,,,,,,1st,,,,,,,,2nd,,Total,,,,,
Total,,,,"3,188",,,"5,090",,UC San Diego,,,,,,81,,,,,,,,114,,195,,,,,
Dates-Avg Per Date,,,,9/354,,,9/565,,Opponents,,,,,,111,,,,,,,,122,,233,,,,,
Neutral Site #-Avg                                0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saves by Period                                                   1st                  2nd                Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,,32,,,,,,27,,,,59,,,,,,,,,,,,,,,,,
Opponents,,,24,,,,,,35,,,,59,,,,,,,,,,,,,,,,,
Corners by Period,,,1st,,,,,,2nd,,,,Total,,,,,,,,,,,,,,,,,
UC San Diego,,,36,,,,,,47,,,,83,,,,,,,,,,,,,,,,,
Opponents,,,36,,,,,,44,,,,80,,,,,,,,,,,,,,,,,
Fouls by Period,,,1st,,,,,,2nd,,,,Total,,,,,,,,,,,,,,,,,
UC San Diego,,,95,,,,,,84,,,,179,,,,,,,,,,,,,,,,,
Opponents,,,103,,,,,,154,,,,257,,,,,,,,,,,,,,,,,
