Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2013,12,Kamila Tan,MB,6-1,,,So.,"San Diego, CA / Cathedral Catholic HS"
2013,13,Danielle Dahle,OH,6-1,,,So.,"La Mesa, CA / Grossmont HS"
2013,15,Rachel Gam,OH/OPP,6-2,,,So.,"Oak Park, CA / Oak Park HS"
2013,16,Stephanie Solich,OH,6-0,,,Fr.,"Loomis, CA / Del Oro HS"
2013,19,Sophie Rowe,OH,6-0,,,So.,"Trabuco Canyon, CA / Mission Viejo HS"
2013,22,Sara McCutchan,MB,6-0,,,Jr.,"Irvine, CA / Woodbridge HS"
2013,24,Makensie Bates,OH,5-11,,,Fr.,"Coto de Caza, CA / Tesoro HS"
2014,3,Liz Mirand,OH/OPP,5-10,,,Fr.,"Cerritos, CA / Saint Joseph HS"
2014,4,Heidi Sierks,S,5-10,,,Jr.,"Lake Bluff, IL / Lake Forest HS"
2014,5,Katy Woodward,OH/L,5-8,,,Jr.,"Tustin, CA / Foothill HS"
2014,6,Bailey Turk,L,5-5,,,Jr.,"Dove Canyon, CA / Santa Margarita Catholic HS"
2014,7,Alyssa Lin,S,5-7,,,So.,"Cupertino, CA / Archbishop Mitty HS"
2014,8,Caitlin Brenton,OPP,5-11,,,Sr.,"San Jose, CA / Valley Christian HS"
2014,9,Kameron Cooper,MB,5-10,,,Jr.,"Sacramento, CA / Inderkum HS"
2014,10,Amanda Colla,OH,5-10,,,Fr.,"Carlsbad, CA / San Dieguito Academy"
2014,12,Rebecca Seaberry,MB,6-0,,,Fr.,"Los Gatos, CA / Torrey Pines HS"
2014,13,Danielle Dahle,OH,6-1,,,Jr.,"La Mesa, CA / Grossmont HS"
2014,15,Rachel Gam,OH/OPP,6-2,,,Jr.,"Oak Park, CA / Oak Park HS"
2014,19,Alyssa McNeely,MB,6-0,,,Fr.,"The Woodlands, TX / The Woodlands College Park HS"
2014,24,Makensie Bates,OH/L,5-11,,,So.,"Coto de Caza, CA / Tesoro HS"
2014,32,Meagan Wright,MB,6-0,,,Jr.,"Bonita, CA / Bonita Vista HS"
2015,1,Shaelyn Perez,OH/OPP,5-8,,,Jr.,"Temecula, CA / Great Oak HS"
2015,4,Heidi Sierks,S,5-10,,,Sr.,"Lake Bluff, IL / Lake Forest HS"
2015,5,Bailey Turk,L,5-5,,,Sr.,"Dove Canyon, CA / Santa Margarita Catholic HS"
2015,7,Madelaine Mahone,S,5-11,,,Fr.,"Murrieta, CA / Murrieta Valley HS"
