Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2017,41,Travis Roberts,LHP,6-0,,,R-Jr.,"Novato, CA / San Marin HS"
2017,44,Antonio Barrios,RHP,6-3,,,Fr.,"Tustin, CA / Tustin HS"
2017,45,Jonah Dipoto,RHP,6-1,,,So.,"Newport Beach, CA / Newport Harbor HS"
2017,47,Aaron Kim,C,6-1,,,Fr.,"Orange, CA / Orange Lutheran HS"
2018,2,Brandon Stewart,OF,5-9,,,R-Fr.,"Temecula, Calif. / Great Oak HS"
2018,3,Blake Baumgartner,IF,6-1,,,R-Fr.,"Stevenson Ranch, CA / West Ranch HS"
2018,4,Keenan Brigman,UT,5-10,,,R-So.,"San Jose, CA / Valley Christian HS"
2018,6,Shay Whitcomb,IF,6-1,,,Fr.,"Newbury Park, CA / Newbury Park HS"
2018,8,Kyle Selor,IF,6-0,,,R-Fr.,"San Francisco, CA / Abraham Lincoln HS"
2018,9,Christopher Schasteen,OF,6-0,,,Jr.,"Walnut Creek, CA / Bellevue HS"
2018,10,Alex Eliopulos,IF,6-1,,,R-Jr.,"La Jolla, CA / La Jolla HS"
2018,11,Justin Beck,IF,6-0,,,Sr.,"Upland, CA / Upland HS"
2018,12,R.J. Prince,OF/1B,6-0,,,Jr.,"Discovery Bay, CA / Liberty HS"
2018,14,Ted Stuka,RHP,6-7,,,So.,"Newport Beach, CA / Corona del Mar HS"
2018,15,Nick Senicka,LHP,6-3,,,R-Jr.,"Oak Brook, IL / Hinsdale Central HS"
2018,16,Zander Clarke,OF,6-5,,,R-Jr.,"Newbury Park, CA / Newbury Park HS"
2018,17,Tyler Durna,1B,6-0,,,Jr.,"Chino Hills, CA / Ruben S. Ayala HS"
2018,18,Garett Lake,OF,5-11,,,Fr.,"Henderson, NV / Coronado HS"
2018,19,Noah Conlon,RHP,6-0,,,Fr.,"Placentia, Calif. / El Dorado HS"
2018,20,Aaron Kim,C,6-1,,,R-Fr.,"Orange, CA / Orange Lutheran HS"
2018,21,Mitch Hickey,RHP,6-0,,,Sr.,"Morgan Hill, CA / Live Oak HS"
2018,23,Steven Schuknecht,UT,6-4,,,R-So.,"Palm Desert, CA / Palm Desert HS"
2018,24,Jesse Moore,OF,6-3,,,Sr.,"Port Orchard, WA / South Kitsap HS"
2018,25,Michael Palos,C,5-8,,,R-Jr.,"Monterey Park, CA / Bishop Amat HS"
2018,26,Nick Kitzmann,C,6-2,,,R-So.,"Solvang, CA / Santa Ynez Valley Union HS"
2018,27,Antonio Barrios,RHP,6-3,,,R-Fr.,"Tustin, CA / Tustin HS"
2018,28,"Jack Rupe, Jr.",RHP,6-4,,,Sr.,"San Marcos, CA / Mission Hills HS"
2018,29,Mark Quinby,RHP,6-2,,,Jr.,"Gilroy, CA / Valley Christian HS"
2018,31,Cameron Kurz,RHP,6-0,,,R-Jr.,"Encinitas, CA / La Costa Canyon HS"
2018,32,Preston Mott,LHP,6-3,,,Jr.,"Clovis, CA / Clovis HS"
2018,33,Cameron Leonard,RHP,6-4,,,Fr.,"Hemet, CA / Hemet HS"
2018,34,Kyle Lucke,RHP,6-6,,,Jr.,"El Dorado Hills, CA / Oak Ridge HS"
2018,35,Blaine Jarvis,RHP,6-2,,,R-So.,"Walnut Creek, CA / Las Lomas HS"
2018,36,Christopher Buting,RHP,6-1,,,Fr.,"Irvine, CA / Northwood HS"
2018,37,Joe DeBaca,1B,6-6,,,Fr.,"Laguna Niguel, CA / Dana Hills HS"
2018,39,Warren King,RHP,6-4,,,Fr.,"Bainbridge Island, WA / O'Dea HS"
2018,41,Tom Simpson,RHP,6-0,,,Sr.,"Port Orchard, WA / South Kitsap HS"
2018,44,Evan Ianniciello,UT,6-5,,,Fr.,"San Marcos, CA / San Marcos HS"
2018,45,Jonah Dipoto,RHP,6-1,,,Jr.,"Newport Beach, CA / Newport Harbor HS"
2019,2,Brandon Stewart,OF,5-9,,,R-So.,"Temecula, Calif. / Great Oak HS"
2019,3,Blake Baumgartner,IF,6-1,,,R-So.,"Stevenson Ranch, CA / West Ranch HS"
2019,4,Keenan Brigman,UT,5-10,,,R-Jr.,"San Jose, CA / Valley Christian HS"
2019,6,Shay Whitcomb,IF,6-3,,,So.,"Newbury Park, CA / Newbury Park HS"
2019,9,Christopher Schasteen,OF,6-0,,,Sr.,"Walnut Creek, CA / Bellevue HS"
2019,10,Alex Eliopulos,IF,6-1,,,R-Sr.,"La Jolla, CA / La Jolla HS"
2019,12,R.J. Prince,UT,6-1,,,Sr.,"Discovery Bay, CA / Liberty HS"
2019,13,Ryan McNally,IF,6-0,,,Fr.,"Moraga, Calif. / Campolindo HS"
2019,14,Ted Stuka,RHP,6-7,,,Jr.,"Newport Beach, CA / Corona del Mar HS"
2019,15,"Logan White, Jr.",C,6-0,,,R-Fr.,"Gilbert, AZ / Mountain Pointe HS"
2019,16,Alex Athanacio,OF,6-3,,,Jr.,"San Mateo, CA / Aragon HS"
2019,17,Tyler Leskiw,OF,5-10,,,Jr.,"Gold Coast, Australia / The Southport School"
2019,18,Michael Fuhrman,IF,5-9,,,Fr.,"Rolling Hills Estates, Calif. / Palos Verdes Peninsula HS"
2019,20,Aaron Kim,C,6-1,,,R-So.,"Orange, CA / Orange Lutheran HS"
2019,21,Mark Quinby,RHP,6-2,,,R-Jr.,"Gilroy, CA / Valley Christian HS"
2019,22,Noah Conlon,RHP,6-0,,,So.,"Placentia, Calif. / El Dorado HS"
2019,23,Steven Schuknecht,UT,6-4,,,R-Jr.,"Palm Desert, CA / Palm Desert HS"
2019,24,Brandon Weed,RHP,6-0,,,Jr.,"Lemon Grove, CA / Grossmont HS"
2019,25,Christopher Buting,RHP,6-2,,,R-Fr.,"Irvine, CA / Northwood HS"
2019,26,Nick Kitzmann,C,6-2,,,R-Jr.,"Solvang, CA / Santa Ynez Valley Union HS"
2019,27,Zach Tresemer,RHP,6-2,,,R-So.,"Elk Grove, CA / Franklin HS"
2019,28,Luke Mattson,RHP,6-1,,,Jr.,"Orange, CA / Orange Lutheran HS"
2019,29,Blake FitzGerald,C,6-0,,,Fr.,"Mission Viejo, Calif. / Capistrano Valley HS"
2019,31,Warren King,RHP,6-5,,,R-Fr.,"Bainbridge Island, WA / O'Dea HS"
2019,32,Preston Mott,LHP,6-3,,,Sr.,"Clovis, CA / Clovis HS"
2019,33,Cameron Leonard,RHP,6-4,,,So.,"Hemet, CA / Hemet HS"
2019,34,Kyle Lucke,RHP,6-6,,,Sr.,"El Dorado Hills, CA / Oak Ridge HS"
2019,35,Blaine Jarvis,RHP,6-2,,,R-Jr.,"Walnut Creek, CA / Las Lomas HS"
2019,40,Michael Mitchell,RHP,6-4,,,Fr.,"Santa Cruz, Calif. / Bellarmine College Prep"
2019,41,Arjun Nichani,IF,5-11,,,Fr.,"San Diego, CA / Canyon Crest Academy"
