Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2021,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2021,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2021,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2021,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2022,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2022,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2022,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2022,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2022,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2022,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2022,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2022,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2022,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2022,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2022,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2022,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2022,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2022,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2022,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2023,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2023,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2023,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2023,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2023,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2023,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2023,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2023,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2023,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2023,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2023,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2023,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2023,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2023,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2023,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2024,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2024,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2024,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2024,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2024,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2024,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2024,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2024,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2024,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2024,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2024,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2024,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2024,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2024,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2024,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
