Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2007,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2007,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2007,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2007,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2008,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2008,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2008,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2008,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2008,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2008,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2008,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2008,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2008,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2008,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2008,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2008,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2008,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2008,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2008,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2008,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2009,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2009,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2009,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2009,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2009,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2009,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2009,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2009,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2009,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2009,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2009,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2009,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2009,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2009,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2009,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2009,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2010,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2010,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2010,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2010,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2010,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2010,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2010,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2010,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2010,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2010,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2010,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2010,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2010,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2010,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2010,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2010,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2011,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2011,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
