Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2009,21,Kristen Cabral,F,6-0,,,Sr.,"Fullerton, CA / "
2009,22,Erin Noonan,F,6-0,,,Sr.,"Yorba Linda, CA / Rosary HS"
2009,23,Tiffany Hunter,F,5-10,,,Jr.,"Fallbrook, CA / Mira Costa College"
2009,24,Amy Griffith,F,6-0,,,Fr.,"Saratoga, CA / Valley Christian HS"
2009,25,Lauren Freidenberg,C,6-1,,,So.,"Seattle, WA / Interlake HS"
2009,30,Charity Smith,C,6-1,,,Jr.,"Pasadena, CA / College of the Canyons"
2009,32,Erin Grady,F,5-10,,,Fr.,"San Francisco, CA / Saint Ignatius College Prep"
2010,3,Nicole Anderson-Jew,G,5-6,,,Fr.,"San Rafael, CA / Marin Catholic HS"
2010,5,Emily Osga,G,5-9,,,So.,"San Diego, CA / Patrick Henry HS"
2010,11,Daisy Feder,G,5-7,,,Jr.,"Santa Monica, CA / Santa Monica HS"
2010,15,Chelsea Carlisle,G,5-6,,,Jr.,"Agoura Hills, CA / Oaks Christian School"
2010,20,Rachel Marty,G,5-9,,,Fr.,"Menlo Park, CA / Pinewood HS"
2010,21,Megan Perry,G,5-7,,,Fr.,"Coto de Caza, CA / Tesoro HS"
2010,22,Lilly Feder,F,5-9,,,Fr.,"Santa Monica, CA / Santa Monica HS"
2010,24,Erin Grady,F,5-10,,,So.,"San Francisco, CA / Saint Ignatius College Prep"
2010,25,Lauren Freidenberg,C,6-1,,,Jr.,"Seattle, WA / Interlake HS"
2010,31,Stephanie Yano,G,5-4,,,Fr.,"Whittier, CA / Troy HS"
2010,32,Elaina White,G,5-10,,,Fr.,"Carlsbad, CA / The Bishop's School"
2010,34,Erin Dautremont,F,6-0,,,Fr.,"West Hills, CA / Chaminade College Prep"
2011,2,Natalie Luzar,G,5-8,,,Fr.,"Anaheim Hills, CA / Orange Lutheran HS"
2011,3,Nicole Anderson-Jew,G,5-6,,,So.,"San Rafael, CA / Marin Catholic HS"
2011,4,Miranda Seto,G,5-5,,,Fr.,"Redwood City, CA / Pinewood School"
2011,5,Emily Osga,G,5-9,,,Jr.,"San Diego, CA / Patrick Henry HS"
2011,11,Daisy Feder,G,5-7,,,Sr.,"Santa Monica, CA / Santa Monica HS"
2011,12,Dana Webster,C,6-1,,,Fr.,"Los Gatos, CA / Los Gatos HS"
2011,15,Chelsea Carlisle,G,5-7,,,Sr.,"Agoura Hills, CA / Oaks Christian School"
2011,20,Rachel Marty,G,5-10,,,So.,"Menlo Park, CA / Pinewood HS"
2011,21,Megan Perry,G,5-9,,,So.,"Coto de Caza, CA / Tesoro HS"
2011,22,McKennan Bertsch,F,5-11,,,Fr.,"Santa Rosa, CA / Santa Rosa HS"
2011,23,Nadja Kern,G,5-10,,,Fr.,"Waltham, MA / Waltham HS"
2011,24,Erin Grady,F,5-10,,,Jr.,"San Francisco, CA / Saint Ignatius College Prep"
2011,25,Lauren Freidenberg,C,6-1,,,Sr.,"Seattle, WA / Interlake HS"
2011,30,Emily Morris,C,6-0,,,Fr.,"Foster City, CA / Notre Dame HS"
2011,31,Stephanie Yano,G,5-5,,,So.,"Whittier, CA / Troy HS"
2011,32,Elaina White,G,5-10,,,So.,"Carlsbad, CA / The Bishop's School"
2011,34,Erin Dautremont,F,6-0,,,So.,"West Hills, CA / Chaminade College Prep"
2012,2,Kim Manlangit,G,5-2,,,Jr.,"Elk Grove, CA / Franklin HS"
2012,4,Miranda Seto,G,5-5,,,So.,"Redwood City, CA / Pinewood School"
2012,5,Emily Osga,G,5-8,,,Sr.,"San Diego, CA / Patrick Henry HS"
2012,11,Daisy Feder,G,5-7,,,Sr.,"Santa Monica, CA / Santa Monica HS"
2012,12,Dana Webster,C,6-1,,,So.,"Los Gatos, CA / Los Gatos HS"
2012,20,Rachel Marty,G,5-10,,,Jr.,"Menlo Park, CA / Pinewood HS"
2012,21,Megan Perry,G,5-9,,,Jr.,"Coto de Caza, CA / Tesoro HS"
2012,22,McKennan Bertsch,F,5-11,,,So.,"Santa Rosa, CA / Santa Rosa HS"
2012,23,Nadja Kern,G,5-10,,,So.,"Waltham, MA / Waltham HS"
2012,24,Erin Grady,F,5-10,,,Sr.,"San Francisco, CA / Saint Ignatius College Prep"
2012,25,Taylor Hirz,C,6-2,,,Fr.,"Tustin, CA / Foothill HS"
2012,30,Emily Morris,C,6-0,,,R-Fr.,"Foster City, CA / Notre Dame HS"
2012,31,Stephanie Yano,G,5-4,,,Jr.,"Whittier, CA / Troy HS"
2012,33,Leeann Alferness,F,6-1,,,Fr.,"Novato, CA / San Marin HS"
2012,34,Erin Dautremont,F,5-9,,,Jr.,"West Hills, CA / Chaminade College Prep"
2013,2,Kim Manlangit,G,5-3,,,Sr.,"Elk Grove, CA / Franklin HS"
2013,3,McKenzie Bolden,G,5-3,,,Fr.,"Atlanta, GA / Holy Innocents Episcopal HS"
2013,4,Miranda Seto,G,5-5,,,Jr.,"Redwood City, CA / Pinewood School"
2013,5,Cassie MacLeod,F,6-0,,,Fr.,"Agoura Hills, CA / Chaminade College Prep"
2013,11,Taylor Tanita,G,5-4,,,Fr.,"Culver City, CA / Culver City HS"
2013,12,Dana Webster,C,6-1,,,Jr.,"Los Gatos, CA / Los Gatos HS"
2013,20,Rachel Marty,G,5-10,,,Sr.,"Menlo Park, CA / Pinewood HS"
2013,21,Megan Perry,G,5-8,,,Sr.,"Coto de Caza, CA / Tesoro HS"
2013,22,McKennan Bertsch,F,5-10,,,Jr.,"Santa Rosa, CA / Santa Rosa HS"
2013,23,Nadja Kern,G,5-10,,,Jr.,"Waltham, MA / Waltham HS"
2013,24,Haley Anderson,G,5-8,,,Fr.,"El Dorado Hills, CA / Oak Ridge HS"
2013,25,Taylor Hirz,F,6-2,,,So.,"Tustin, CA / Foothill HS"
2013,30,Emily Morris,C,6-0,,,So.,"Foster City, CA / Notre Dame HS"
2013,31,Stephanie Yano,G,5-4,,,Jr.,"Whittier, CA / Troy HS"
2013,32,Hannah Johnson,F,5-11,,,Fr.,"Saratoga, CA / Saratoga HS"
2013,33,Leeann Alferness,F,6-1,,,So.,"Novato, CA / San Marin HS"
2013,34,Erin Dautremont,F,5-10,,,Sr.,"West Hills, CA / Chaminade College Prep"
2013,35,Jacquelynne White,G,5-8,,,Fr.,"Indio, CA / Indio HS"
2014,3,McKenzie Bolden,G,5-3,,,So.,"Atlanta, GA / Holy Innocents Episcopal HS"
2014,4,Miranda Seto,G,5-5,,,Sr.,"Redwood City, CA / Pinewood School"
2014,5,Cassie MacLeod,F,6-0,,,So.,"Agoura Hills, CA / Chaminade College Prep"
2014,11,Taylor Tanita,G,5-4,,,R-Fr.,"Culver City, CA / Culver City HS"
2014,12,Dana Webster,C,6-1,,,Sr.,"Los Gatos, CA / Los Gatos HS"
2014,13,Jamie Katuna,G,5-7,,,Jr.,"Longmont, CO / Longmont HS"
2014,20,Farrah Shokoor,F,5-11,,,Jr.,"San Diego, CA / Patrick Henry HS"
2014,21,Paige Song,G,5-9,,,Fr.,"San Jose, CA / Lynbrook HS"
2014,22,McKennan Bertsch,F,5-10,,,Sr.,"Santa Rosa, CA / Santa Rosa HS"
2014,23,Nadja Kern,G,5-10,,,Sr.,"Waltham, MA / Waltham HS"
2014,24,Haley Anderson,G,5-8,,,So.,"El Dorado Hills, CA / Oak Ridge HS"
2014,25,Taylor Hirz,F,6-2,,,Jr.,"Tustin, CA / Foothill HS"
2014,30,Emily Morris,C,6-0,,,Jr.,"Foster City, CA / Notre Dame HS"
2014,31,Stephanie Yano,G,5-4,,,Sr.,"Whittier, CA / Troy HS"
2014,32,Gigi Olelewe,F,6-0,,,Fr.,"Agoura Hills, CA / Agoura HS"
2014,33,Leeann Alferness,F,6-1,,,So.,"Novato, CA / San Marin HS"
2014,34,Abriana Conklin,G,5-9,,,Fr.,"San Juan Capistrano, CA / San Juan Hills HS"
2014,44,Beth Mounier,G,5-9,,,So.,"Woodland Hills, CA / Oaks Christian School"
2015,2,Marissa Hing,G,5-1,,,Fr.,"Los Altos, CA / Pinewood School"
2015,4,Beth Mounier,G,5-9,,,Jr.,"Woodland Hills, CA / Oaks Christian School"
2015,5,Cassie MacLeod,F,6-0,,,Jr.,"Agoura Hills, CA / Chaminade College Prep"
2015,11,Taylor Tanita,G,5-4,,,So.,"Culver City, CA / Culver City HS"
2015,12,Rebecca Williams,F,6-1,,,Fr.,"Esparto, CA / Woodland Christian HS"
2015,13,Jamie Katuna,G,5-7,,,Sr.,"Longmont, CO / Longmont HS"
2015,20,Farrah Shokoor,F,5-11,,,Sr.,"San Diego, CA / Patrick Henry HS"
2015,21,Paige Song,G,5-9,,,So.,"San Jose, CA / Lynbrook HS"
2015,24,Haley Anderson,G,5-8,,,Jr.,"El Dorado Hills, CA / Oak Ridge HS"
2015,25,Joleen Yang,G,5-6,,,Fr.,"San Francisco, CA / St. Ignatius College Prep"
2015,30,Janae Peterson,F,6-1,,,Jr.,"Lake Elsinore, CA / Temescal Canyon HS"
2015,32,Gigi Olelewe,F,6-0,,,So.,"Agoura Hills, CA / Agoura HS"
2015,34,Abriana Conklin,G,5-9,,,So.,"San Juan Capistrano, CA / San Juan Hills HS"
2015,44,Shandiin Armao,F,5-10,,,Fr.,"Winslow, AZ / Winslow HS"
2016,2,Marcella Hughes,G,5-5,,,So.,"Martinez, CA / Carondelet HS"
2016,4,Beth Mounier,G,5-9,,,Sr.,"Woodland Hills, CA / Oaks Christian School"
2016,5,Cassie MacLeod,F,6-0,,,Sr.,"Agoura Hills, CA / Chaminade College Prep"
2016,10,Rebecca Williams,F,6-1,,,So.,"Esparto, CA / Woodland Christian HS"
2016,11,Taylor Tanita,G,5-4,,,Jr.,"Culver City, CA / Culver City HS"
