Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,16,Joe Shah,M,5-10,,,Fr.,"Santa Ana, CA / Foothill HS"
2005,19,Jonathan Sawyer,M,5-8,,,Fr.,"San Diego, CA / University City HS"
2005,22,Tom Caplan,F,5-11,,,Fr.,"Mission Viejo, CA / Mission Viejo HS"
2005,1,Edward Ruhland,GK,6-3,,,Sr.,"Hilo, HI / Hilo HS"
2005,2,Devon Cook,D,5-11,,,Jr.,"Carlsbad, CA / Carlsbad HS"
2005,3,German Bravo,M,5-9,,,So.,"Monrovia, CA / Arcadia HS"
2005,4,Robert Stetina,M,5-11,,,Sr.,"Mission Viejo, CA / Arcadia HS"
2005,5,Nick Marquand,D,6-0,,,Sr.,"La Canada, CA / La Canada HS"
2005,6,Patrick Kelly,M,6-0,,,So.,"Burlingame, CA / St. Ignatius Prep"
2005,7,Chase Douglas,M,6-0,,,Jr.,"Winchester, CA / Chaparral HS"
2005,8,Grant Nishio,F,5-7,,,Sr.,"Carmichael, CA / Jesuit HS"
2005,9,Matt Horne,D,6-4,,,Jr.,"El Cajon, CA / West Hills HS"
2005,10,Jon Krupansky,F,5-8,,,Sr.,"Newbury Park, CA / Newbury Park HS"
2005,11,Dustin Tannenhaus,D,6-1,,,Jr.,"Spring Valley, CA / Monte Vista HS"
2005,12,Josh Levy,D,5-11,,,So.,"Calabasas, CA / Calabasas HS"
2005,13,Raymond Putrus,M,5-8,,,So.,"Spring Valley, CA / Granite Hills HS"
2005,14,Michael Grubic,M,5-9,,,Fr.,"Long Beach, CA / Lakewood HS"
2005,15,Ryan Velasquez,M,5-8,,,Jr.,"San Mateo, CA / San Mateo HS"
2005,17,Kevin Murray,D,5-8,,,Sr.,"Mission Viejo, CA / Aliso Niguel HS"
2005,18,Chris Alcantar,D,5-10,,,So.,"La Mesa, CA / Helix HS"
2005,21,Brian Jacobs,M,5-10,,,Jr.,"Bakersfield, CA / Stockdale HS"
2005,23,Matt Davey,M,5-10,,,Sr.,"Laguna Niguel, CA / Aliso Niguel HS"
2005,24,Luis Salazar,GK,5-11,,,Fr.,"Pico Rivera, CA / Downey HS"
2006,9,Tom Caplan,F,5-11,,,So.,"Mission Viejo, CA / Mission Viejo HS"
2006,14,Jonathan Sawyer,M,5-8,,,So.,"San Diego, CA / University City HS"
2006,15,Daniel Pavitt,D,5-11,,,Fr.,"Temecula, CA / Chaparral HS"
2006,17,Joe Shah,M,5-10,,,So.,"Santa Ana, CA / Foothill HS"
2006,21,Kyle Parton,D,6-0,,,Fr.,"Los Alamitos, CA / Los Alamitos HS"
2006,22,Tony Choi,M,5-10,,,Fr.,"Folsom, CA / Jesuit HS"
2006,01,Luis Salazar,GK,5-11,,,So.,"Pico Rivera, CA / Downey HS"
2006,2,Devon Cook,D,5-11,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2006,3,German Bravo,M,5-9,,,So.,"Monrovia, CA / Arcadia HS"
2006,4,Dustin Tannenhaus,D,6-1,,,Sr.,"Spring Valley, CA / Monte Vista HS"
2006,5,Ryan Velasquez,M,5-8,,,Sr.,"San Mateo, CA / San Mateo HS"
2006,6,Patrick Kelly,M,6-0,,,Sr.,"Burlingame, CA / St. Ignatius Prep"
2006,7,Tom Winkler,M,6-1,,,Jr.,"St. Louis, MO / University HS"
2006,8,Matt Horne,D,6-4,,,Sr.,"El Cajon, CA / West Hills HS"
