Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2008,6,Bryce Madsen,DRI,5-11,,,So.,"Westminster, CA / Marina HS"
2008,7,Adnan Jerkovic,DRI,6-1,,,Sr.,"Palm Desert, CA / Palm Desert HS"
2008,8,Sidd Menon,DRI,5-10,,,Sr.,"Palo Alto, CA / Gunn HS"
2008,9,Sean Roberts,UTL,6-1,,,Jr.,"West Hills, CA / Calabasas HS"
2008,10,Kneif Lohse,DRI,6-1,,,Jr.,"Porterville, CA / Granite Hills HS"
2008,11,Matt Kerchner,UTL,6-4,,,R-Fr.,"Westlake, CA / Westlake HS"
2008,12,Lance Curtiss,DRI,5-11,,,Fr.,"Santa Barbara, CA / San Marcos HS"
2008,13,Michael Bausback,UTL,6-0,,,Fr.,"Portola Valley, CA / Sacred Heart Prep HS"
2008,14,Steven Donohoe,2MD,6-2,,,Jr.,"Upland, CA / Damien HS"
2008,16,Daniel Garcia,2MO,6-0,,,Jr.,"San Dimas, CA / Servite HS"
2008,17,Sean Cruz,DRI,6-0,,,Jr.,"Garden Grove, CA / Tustin HS"
2008,18,Peter Gresham,2MD,6-5,,,Jr.,"Solana Beach, CA / Torrey Pines HS"
2008,19,Cameron James,DRI,5-11,,,Fr.,"Chino Hills, CA / Ayala HS"
2008,21,Graham Saber,DRI,5-10,,,So.,"Rancho Santa Fe, CA / Santa Fe Christian HS"
2008,22,Chris Barton,DRI,5-11,,,Fr.,"Carlsbad, CA / Carlsbad HS"
2009,1,Andrew Lighterink,GK,6-4,,,Fr.,"Solana Beach, CA / Torrey Pines HS"
2009,1,David Morton,GK,6-1,,,So.,"Salinas, CA / Salinas HS"
2009,1,Daniel Ramirez,GK,5-10,,,Sr.,"La Mesa, CA / Helix Charter HS"
2009,2,John Butler,UTL,5-11,,,Fr.,"Hillsborough, CA / St. Ignatius College Prep"
2009,3,Ian Bausback,UTL,6-2,,,Sr.,"Portola Valley, CA / Sacred Hart Prep"
2009,4,William Brown,DRI,6-3,,,Jr.,"Arcadia, CA / Arcadia HS"
2009,5,Dan Biag,UTL,5-10,,,Jr.,"Cerritos, CA / Cerritos HS"
2009,6,Bryce Madsen,DRI,5-11,,,Jr.,"Westminster, CA / Marina HS"
2009,7,Brian Donohoe,UTL,5-11,,,Fr.,"Upland, CA / Damien HS"
2009,8,Ryan Allred,DRI,6-0,,,Jr.,"La Verne, CA / Bonita HS"
2009,9,Sean Roberts,DRI,6-1,,,Sr.,"West Hills, CA / Calabasas HS"
2009,10,Kneif Lohse,DRI,6-1,,,Sr.,"Porterville, CA / Granite Hills HS"
2009,11,Matt Kerchner,2MO,6-4,,,So.,"Westlake, CA / Westlake HS"
2009,12,Lance Curtiss,UTL,5-11,,,So.,"Santa Barbara, CA / San Marcos HS"
2009,13,Jakub Bednarek,2MD,6-3,,,Jr.,"Laguna Niguel, CA / III Liceum Ogolnoksztalcace"
2009,14,Steven Donohoe,2MD,6-2,,,Sr.,"Upland, CA / Damien HS"
2009,15,Chris Barton,DRI,5-11,,,So.,"Carlsbad, CA / Carlsbad HS"
2009,16,Michael Bausback,UTL,6-0,,,So.,"Portola Valley, CA / Sacred Heart Prep HS"
2009,17,Sean Cruz,DRI,6-0,,,Jr.,"Garden Grove, CA / Tustin HS"
2009,18,Peter Gresham,2MD,6-5,,,Sr.,"Solana Beach, CA / Torrey Pines HS"
2009,19,Cameron James,DRI,5-11,,,So.,"Chino Hills, CA / Ayala HS"
2009,21,Graham Saber,DRI,5-10,,,Jr.,"Rancho Santa Fe, CA / Santa Fe Christian HS"
2010,1,Andrew Lighterink,GK,6-4,,,R-Fr.,"Solana Beach, CA / Torrey Pines HS"
2010,1,David Morton,GK,6-1,,,Jr.,"Salinas, CA / Salinas HS"
2010,1,Cameron Ravanbach,UTL,6-3,,,Fr.,"La Jolla, CA / La Jolla HS"
2010,2,Dan Lorch,UTL,6-3,,,Fr.,"Camarillo, CA / Moorpark HS"
2010,3,John Butler,UTL,5-11,,,So.,"Hillsborough, CA / St. Ignatius College Prep"
2010,4,Michael Bausback,UTL,6-0,,,Jr.,"Portola Valley, CA / Sacred Heart Prep HS"
2010,5,Dan Biag,UTL,5-10,,,R-Jr.,"Cerritos, CA / Cerritos HS"
2010,6,Bryce Madsen,DRI,5-11,,,Sr.,"Westminster, CA / Marina HS"
2010,7,William Brown,DRI,6-3,,,R-Jr.,"Arcadia, CA / Arcadia HS"
2010,8,Ryan Allred,DRI,6-0,,,Sr.,"La Verne, CA / Bonita HS"
2010,9,Karl Weit,UTL,6-4,,,Jr.,"Atascadero, CA / Atascadero HS"
2010,10,Kevin Driscoll,UTL,6-1,,,So.,"Alamo, CA / De La Salle HS"
2010,11,Matt Kerchner,2MO,6-4,,,Jr.,"Westlake, CA / Westlake HS"
2010,12,Lance Curtiss,UTL,5-11,,,Jr.,"Santa Barbara, CA / San Marcos HS"
2010,13,Jakub Bednarek,2MD,6-3,,,Sr.,"Laguna Niguel, CA / III Liceum Ogolnoksztalcace"
2010,14,Brian Donohoe,UTL,5-11,,,So.,"Upland, CA / Damien HS"
2010,15,Chris Barton,DRI,5-11,,,Jr.,"Carlsbad, CA / Carlsbad HS"
2010,16,Tyler Ranj,UTL,6-1,,,Fr.,"San Diego, CA / Westview HS"
2010,17,Lukas Syka,UTL,6-1,,,Fr.,"San Diego, CA / Westview HS"
2010,18,Josh Stiling,UTL,6-4,,,Fr.,"Beaverton, OR / Southridge HS"
2010,20,Dane Sequeira,UTL,6-0,,,Fr.,"Newport Beach, CA / Newport Harbor HS"
2010,21,Graham Saber,DRI,5-10,,,R-Jr.,"Rancho Santa Fe, CA / Santa Fe Christian HS"
2011,1,Nick Michels,GK,6-6,,,Jr.,"Walnut Creek, CA / Las Lomas HS"
2011,1,David Morton,GK,6-1,,,Sr.,"Salinas, CA / Salinas HS"
2011,1,Cameron Ravanbach,GK,6-3,,,Rs.,"La Jolla, CA / La Jolla HS"
2011,1,Daniel Schwartz,GK,6-3,,,Fr.,"Santa Cruz, CA / Soquel HS"
2011,2,Dan Lorch,2M,6-3,,,Rs.,"Camarillo, CA / Moorpark HS"
2011,3,John Butler,UTL,6-0,,,Jr.,"Hillsborough, CA / St. Ignatius College Prep"
2011,4,Dane Sequeira,DRI,6-0,,,So.,"Newport Beach, CA / Newport Harbor HS"
2011,5,Joe Dietrich,2M,6-2,,,Fr.,"Lafayette, CA / Acalanes HS"
2011,6,Tyler Ranj,UTL,6-1,,,Rs.,"San Diego, CA / Westview HS"
