Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,1,Kaitlin Foe,GK,5-11,,,Sr.,"Woodland, CA / Davis Senior HS"
2005,1,Markayla Quane,GK,5-8,,,Fr.,"El Segundo, CA / El Segundo HS"
2005,3,Britta Nordstrom,2MD,6-1,,,Jr.,"Hollister, CA / San Benito HS"
2005,4,Miho Umezawa,DRI,5-5,,,Jr.,"Irvine, CA / Irvine HS"
2005,6,Sarah Bajorek,2MD,5-11,,,Jr.,"Tustin, CA / Tustin HS"
2005,8,Kirsten Frazer,2M,5-11,,,Sr.,"San Diego, CA / Redwood HS"
2005,9,Lauren Woods,UTL,5-8,,,So.,"La Verne, CA / Bonita HS"
2005,11,Natalie Hockett,2M,5-9,,,Jr.,"Lake Elsinore, CA / Temescal Canyon HS"
2005,12,Flynn LaRochelle,DRI,5-6,,,Sr.,"Napa, CA / Vintage HS"
2005,13,Michelle Perkins,UTL,5-8,,,Jr.,"Poway, CA / Poway HS"
2005,15,Sydney Gstettenbauer,UTL,5-6,,,R-Fr.,"Ventura, CA / Ventura HS"
2005,16,Bridgette Bugay,UTL,5-4,,,Fr.,"Santa Barbara, CA / Santa Barbara HS"
2005,18,Rebecca Gearty,2MD,5-10,,,Fr.,"Huntington Beach , CA / Huntington Beach HS"
2005,20,Stephanie Heinrich,UTL,5-6,,,Fr.,"Glendora, CA / Charter Oak HS"
2006,1,Markayla Quane,GK,5-8,,,R-Fr.,"El Segundo, CA / El Segundo HS"
2006,1,Ebey Sorenson,GK,5-10,,,Fr.,"Martinez, CA / College Park HS"
2006,3,Britta Nordstrom,2MD,6-1,,,Sr.,"Hollister, CA / San Benito HS"
2006,4,Miho Umezawa,DRI,5-5,,,Sr.,"Irvine, CA / Irvine HS"
2006,5,Rebecca Gearty,2MD,5-10,,,R-Fr.,"Huntington Beach , CA / Huntington Beach HS"
2006,6,Sarah Bajorek,2MD,5-11,,,Sr.,"Tustin, CA / Tustin HS"
2006,9,Lauren Woods,UTL,5-8,,,Jr.,"La Verne, CA / Bonita HS"
2006,11,Natalie Hockett,2M,5-9,,,Sr.,"Lake Elsinore, CA / Temescal Canyon HS"
2006,12,Stephanie Heinrich,UTL,5-6,,,R-Fr.,"Glendora, CA / Charter Oak HS"
2006,13,Sydney Gstettenbauer,DRI,5-6,,,So.,"Ventura, CA / Ventura HS"
2006,16,Bridgette Bugay,UTL,5-4,,,So.,"Santa Barbara, CA / Santa Barbara HS"
2006,19,Audra Bloom,DRI,5-7,,,Fr.,"Nuevo, CA / Perris HS"
2006,21,Stephanie Bocian,UTL,5-9,,,Fr.,"Riverside, CA / Riverside Poly"
2006,22,Janice Aguilar,2M,5-7,,,Fr.,"San Diego, CA / Westview HS"
2007,1,Kristen Ostosh,GK,5-10,,,Fr.,"La Jolla, CA / La Jolla HS"
2007,1,Markayla Quane,GK,5-9,,,So.,"El Segundo, CA / El Segundo HS"
2007,1,Ebey Sorenson,GK,5-10,,,R-Fr.,"Martinez, CA / College Park HS"
2007,3,Sydney Gstettenbauer,ATT,5-6,,,Jr.,"Ventura, CA / Ventura HS"
2007,5,Rebecca Gearty,2MD,5-10,,,So.,"Huntington Beach , CA / Huntington Beach HS"
2007,6,Bridgette Bugay,UTL,5-4,,,Jr.,"Santa Barbara, CA / Santa Barbara HS"
2007,7,Stephanie Bocian,UTL,5-8,,,So.,"Riverside, CA / Riverside Poly"
2007,12,Stephanie Heinrich,UTL,5-6,,,So.,"Glendora, CA / Charter Oak HS"
2007,13,Janice Aguilar,2M,5-6,,,R-Fr.,"San Diego, CA / Westview HS"
