Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2008,6,Remy Hitt,M,5-6,,,So.,"La Mesa, CA / Helix HS"
2008,7,Natasha Belak-Berger,F,5-5,,,Sr.,"Thousand Oaks, CA / Thousand Oaks HS"
2008,8,Jenelle Rotenberg,D,5-8,,,Fr.,"La Ca?ada, CA / La Ca?ada HS"
2008,9,Sara Spaventa,D,5-7,,,Fr.,"Santa Barbara, CA / San Marcos HS"
2008,10,Lisa Bradley,M,5-5,,,So.,"Martinez, CA / Carondelet HS"
2008,11,Alexia Zatarain,M,5-5,,,Jr.,"Canyon Country, CA / Canyon HS"
2008,12,Rachel Baugh,D,5-7,,,Fr.,"Newport Beach, CA / Newport Harbor HS"
2008,13,Elisa Sahagun,M,5-8,,,So.,"Hacienda Heights, CA / Wilson HS"
2008,14,Tanaya Pattnaik,M,5-4,,,Fr.,"Davis, CA / Davis Senior HS"
2008,15,Sara Bolton,D,5-6,,,Fr.,"Carlsbad, CA / Carlsbad HS"
2008,16,Shelby Wong,M,5-3,,,Fr.,"Danville, CA / Monte Vista HS"
2008,17,Amanda Esquivel,D,5-3,,,Sr.,"San Diego, CA / Preuss College Prep"
2008,18,Anne Wethe,M,5-5,,,Fr.,"Los Alamitos, CA / Los Alamitos HS"
2008,19,Alexa-Rae Navarro,F,5-6,,,Fr.,"Temecula, CA / Great Oak HS"
2008,20,Laura Borenstein,M,5-5,,,Sr.,"La Jolla, CA / La Jolla HS"
2008,22,Jillian Welch,M,5-6,,,Fr.,"Redondo Beach, CA / Redondon Union HS"
2008,0,Alex Krzyzosiak,GK,5-5,,,Fr.,"Berkeley, CA / Berkeley HS"
2008,01,Jessica McGovern,GK,5-7,,,Sr.,"Reseda, CA / Chaminade College Prep"
2009,01,Kristin Armstrong,GK,5-8,,,So.,"Anaheim, CA / Canyon HS"
2009,1,Kimberly Cushing,GK,5-8,,,Fr.,"Anaheim, CA / Villa Park HS"
2009,2,Sarah McTigue,F,5-7,,,So.,"Bellflower, CA / Valley Christian HS"
2009,3,Lindsay Mills,M,5-2,,,So.,"Valencia, CA / William S. Hart HS"
2009,4,Katie Kuykendall,D,5-4,,,So.,"Valencia, CA / William S. Hart HS"
2009,5,Tanaya Pattnaik,M,5-4,,,R-Fr.,"Davis, CA / Davis Senior HS"
2009,6,Remy Hitt,M,5-6,,,Jr.,"La Mesa, CA / Helix HS"
2009,7,Courtney Capobianco,F,5-5,,,So.,"Laguna Beach, CA / Laguna Beach HS"
2009,8,Hayley Johnson,D,5-7,,,Fr.,"Santa Rosa, CA / Maria Carrillo HS"
2009,9,Sara Spaventa,D,5-7,,,So.,"Santa Barbara, CA / San Marcos HS"
2009,10,Lisa Bradley,M,5-5,,,Jr.,"Martinez, CA / Carondelet HS"
2009,12,Sara Bolton,M,5-6,,,So.,"Carlsbad, CA / Carlsbad HS"
2009,13,Gabi Hernandez,M,5-10,,,Fr.,"Altadena, CA / Ramona Convent Secondary School"
2009,14,Ellie Nevarez,M,5-3,,,Fr.,"Poway, CA / Poway HS"
2009,15,Ellen Wilson,D,5-9,,,Fr.,"Santa Ana, CA / Mater Dei HS"
2009,16,Shelby Wong,M,5-3,,,So.,"Danville, CA / Monte Vista HS"
2009,17,Jessica Wi,M,5-1,,,Fr.,"Oakland, CA / Skyline HS"
2009,18,Anne Wethe,M,5-5,,,So.,"Los Alamitos, CA / Los Alamitos HS"
2009,19,Alexa-Rae Navarro,F,5-6,,,So.,"Temecula, CA / Great Oak HS"
2009,20,Alexa Enlow,M,5-6,,,Fr.,"Huntington Beach, CA / Edison HS"
2009,21,Danielle Dixon,M,5-8,,,Fr.,"Livermore, CA / Livermore HS"
2009,22,Alyssa Newcomer,F,5-3,,,Fr.,"Aliso Viejo, CA / Aliso Niguel HS"
2009,RS,Bri Levinson,M,5-7,,,Fr.,"Galt, CA / Elk Grove HS"
2009,RS,Ashley Travaglione,D,5-7,,,Fr.,"San Jose, CA / Evergreen Valley HS"
2009,RS,Rachel Uda,M,5-3,,,Fr.,"Sacramento, CA / C.K. McClatchy HS"
2010,01,Kristin Armstrong,GK,5-8,,,Jr.,"Anaheim, CA / Canyon HS"
2010,1,Sarah Garland,GK,5-8,,,Jr.,"San Diego, CA / "
2010,2,Sarah McTigue,F,5-7,,,Jr.,"Bellflower, CA / Valley Christian HS"
2010,3,Lindsay Mills,M,5-2,,,Jr.,"Valencia, CA / William S. Hart HS"
2010,4,Katie Kuykendall,D,5-4,,,Jr.,"Valencia, CA / William S. Hart HS"
2010,6,Mary McWalters,D,5-4,,,So.,"San Diego, CA / Westview HS"
2010,8,Rachel Leslie,M,5-6,,,Fr.,"Santee, CA / West Hills HS"
2010,9,Sara Spaventa,D,5-7,,,Jr.,"Santa Barbara, CA / San Marcos HS"
2010,10,Lisa Bradley,M,5-5,,,Sr.,"Martinez, CA / Carondelet HS"
2010,11,Courtney Capobianco,M,5-5,,,Jr.,"Laguna Beach, CA / Laguna Beach HS"
2010,12,Sara Bolton,M,5-6,,,Jr.,"Carlsbad, CA / Carlsbad HS"
2010,13,Gabi Hernandez,F,5-10,,,So.,"Altadena, CA / Ramona Convent Secondary School"
2010,14,Annette Ilg,F,5-10,,,Sr.,"Avon Lake, OH / Avon Lake HS"
2010,15,Ellen Wilson,D,5-9,,,So.,"Santa Ana, CA / Mater Dei HS"
2010,16,Shelby Wong,M,5-3,,,Jr.,"Danville, CA / Monte Vista HS"
2010,17,Jessica Wi,M,5-1,,,So.,"Oakland, CA / Skyline HS"
2010,18,Anne Wethe,M,5-5,,,Jr.,"Los Alamitos, CA / Los Alamitos HS"
