Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2018,11,Scott Everman,F,6-7,,,Jr.,"Santa Barbara, Calif. / San Marcos HS"
2018,12,Justin Pratt,G,6-3,,,Fr.,"Lafayette, Calif. / De La Salle HS"
2018,13,Lunden Taylor,G,6-3,,,Fr.,"Fresno, Calif. / San Joaquin Memorial HS"
2018,14,Christian Oshita,G/F,6-6,,,Sr.,"Torrance, Calif. / Bishop Montgomery HS"
2018,15,Jeremy Johnson,G,6-3,,,R-Jr.,"Minneapolis, Minn. / Champlin Park HS"
2018,22,Eric Patton,F,6-6,,,Sr.,"Santa Ana, Calif. / Foothill HS"
2018,23,Kaden Rasheed,G,6-1,,,Fr.,"Ladera Ranch, Calif. / Santa Margarita HS"
2018,25,Martin Tombe,F,6-6,,,So.,"San Diego, Calif. / St. Augustine HS"
2018,32,Mikey Howell,G,6-3,,,R-So.,"San Marcos, Calif. / San Marcos HS"
2018,44,Chris Hansen,C,6-7,,,R-Jr.,"Lafayette, Calif. / Campolindo HS"
2019,0,Lunden Taylor,G,6-3,180,International Business,R-Fr.,"Fresno, Calif. / San Joaquin Memorial HS"
2019,1,Hugh Baxter,F,6-8,210,Sociology,Jr.,"Melbourne, Australia / Scotch College"
2019,2,Tyrell Roberts,G,5-11,170,Communications,R-So.,"Sacramento, Calif. / Woodcreek HS"
2019,3,Gabe Hadley,G,6-4,200,Public Health,Jr.,"Launceston, Australia / Templestowe College"
2019,4,Bryce Pope,G,6-3,185,Real Estate and Development,Fr.,"San Diego, Calif. / Torrey Pines HS"
2019,5,Marek Sullivan,F,6-6,195,International Business,Jr.,"San Diego, Calif. / Torrey Pines HS"
2019,10,Connor Peterson,G,6-2,192,Psychology,R-Sr.,"San Jose, Calif. / Archbishop Mitty HS"
2019,11,Scott Everman,F,6-7,220,International Business,Sr.,"Santa Barbara, Calif. / San Marcos HS"
2019,12,Justin Pratt,G,6-3,190,International Business,R-Fr.,"Lafayette, Calif. / De La Salle HS"
2019,13,Jake Kosakowski,F,6-6,202,Communication,Fr.,"Las Vegas, Nev. / Whitney Young HS"
2019,14,Christian Oshita,G/F,6-6,210,Cognitive Beh./Neuroscience,R-Sr.,"Torrance, Calif. / Bishop Montgomery HS"
2019,22,Jace Roquemore,G,6-5,160,Communication,Fr.,"Henderson, Nev. / Foothill HS"
2019,23,Kaden Rasheed,G,6-1,185,International Business,So.,"Ladera Ranch, Calif. / Santa Margarita HS"
2019,24,John Diener,G,6-5,190,Global Health,R-Fr.,"Cedarburg, Wis. / Cedarburg HS"
2019,25,Martin Tombe,F,6-6,209,International Business,Jr.,"San Diego, Calif. / St. Augustine HS"
2019,32,Mikey Howell,G,6-3,165,International Business,R-Jr.,"San Marcos, Calif. / San Marcos HS"
2019,33,Trace Ramsey,F,6-7,200,International Business,So.,"Valparaiso, Ind. / Valparaiso HS"
2019,44,Chris Hansen,C,6-7,245,Management Science,R-Sr.,"Lafayette, Calif. / Campolindo HS"
2020,0,Lunden Taylor,G,6-3,180,International Business,R-So.,"Fresno, Calif. / San Joaquin Memorial HS"
2020,1,Hugh Baxter,F,6-8,210,Sociology,Sr.,"Melbourne, Australia / Scotch College"
2020,3,Gabe Hadley,G,6-4,200,Public Health,Sr.,"Launceston, Australia / Templestowe College"
2020,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Fr.,"San Diego, Calif. / Torrey Pines HS"
2020,5,Marek Sullivan,F,6-6,195,International Business,Sr.,"San Diego, Calif. / Torrey Pines HS"
2020,10,Toni Rocak,F,6-8,220,Business Psychology,Jr.,"Geneva, Switzerland / Phillips Exeter Prep"
2020,11,Matt Gray,F,6-8,225,Education Studies,R-So.,"Orange, Australia / Canobolus Rural Tech"
2020,12,Justin Pratt,G,6-3,190,International Business,R-So.,"Lafayette, Calif. / De La Salle HS"
